Property ID,Region,Province,District,Locality,PostalCode,Street,Price,PropertyType,PropertySubtype,ConstructionYear,StateBuilding,KitchenType,FacadeCount,FloorCount,EPCScore,HasTerrace,HasGarden,HasKitchen,Open_fire,SwimmingPool,Furnished,BedroomCount,LivingArea,Terrace_Area,Garden_Area,LandWidth,LandSurface,ScrapedURL,PriceType,TypeSale,LifeAnnuitySale
20233131,Brussels,Brussels,Brussels,Ixelles,1050,Rue Du Relais - Pleisterstraat,395000,APARTMENT,APARTMENT,,JUST_RENOVATED,HYPER_EQUIPPED,,4.0,,1,0,1,0,0,0,1.0,100.0,3.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20233131,residential_sale,FOR_SALE,0
20226645,Brussels,Brussels,Brussels,Brussel,1000,Hooikaai,455000,APARTMENT,APARTMENT,,TO_BE_DONE_UP,SEMI_EQUIPPED,,6.0,F,0,0,1,0,0,0,2.0,120.0,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/brussel/1000/20226645,residential_sale,FOR_SALE,0
20240570,Brussels,Brussels,Brussels,Evere,1140,Avenue de l'Oud-Kapelleke,235000,APARTMENT,APARTMENT,,GOOD,,,1.0,E,1,0,0,0,0,0,2.0,75.0,14.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/20240570,residential_sale,FOR_SALE,0
20243133,Flanders,West Flanders,Brugge,Blankenberge,8370,Kerkstraat,189000,APARTMENT,APARTMENT,,GOOD,,,,A,1,0,0,0,0,1,1.0,57.0,10.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/20243133,residential_sale,FOR_SALE,0
20226743,Brussels,Brussels,Brussels,Brussels City,1000,,650000,APARTMENT,APARTMENT,1950.0,GOOD,HYPER_EQUIPPED,,8.0,E,0,0,1,0,0,0,2.0,180.0,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/brussels-city/1000/20226743,residential_sale,FOR_SALE,0
20208311,Brussels,Brussels,Brussels,Uccle,1180,Avenue Montjoie,289000,APARTMENT,APARTMENT,,,,,3.0,G,0,0,0,0,0,0,1.0,75.0,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20208311,residential_sale,FOR_SALE,0
20233279,Brussels,Brussels,Brussels,Bruxelles,1000,Avenue De Cortenbergh - Kortenberglaan,289000,APARTMENT,APARTMENT,2022.0,AS_NEW,USA_HYPER_EQUIPPED,,7.0,B,0,0,1,0,0,1,0.0,34.0,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20233279,residential_sale,FOR_SALE,0
20226887,Brussels,Brussels,Brussels,Evere,1140,Chaussée De Haecht - Haachtsesteenweg,279000,APARTMENT,APARTMENT,1970.0,GOOD,INSTALLED,2.0,4.0,E,1,0,1,0,0,0,2.0,93.0,10.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/20226887,residential_sale,FOR_SALE,0
20208010,Brussels,Brussels,Brussels,Uccle - Ukkel,1180,Avenue Château De Walzin - Kasteel De Walzinlaan,700000,APARTMENT,APARTMENT,1976.0,GOOD,INSTALLED,3.0,1.0,E,1,0,1,0,0,0,3.0,170.0,30.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/uccle-ukkel/1180/20208010,residential_sale,FOR_SALE,0
11140576,Brussels,Brussels,Brussels,Bruxelles,1000,Rue des Palais,375000,APARTMENT,APARTMENT,,GOOD,INSTALLED,2.0,4.0,G,0,0,1,0,0,0,2.0,132.0,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11140576,residential_sale,FOR_SALE,0
20207520,Brussels,Brussels,Brussels,Jette,1090,Boulevard de Smet de Naeyer,245000,APARTMENT,APARTMENT,1968.0,TO_BE_DONE_UP,,2.0,5.0,F,1,0,0,0,0,0,2.0,85.0,2.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/jette/1090/20207520,residential_sale,FOR_SALE,0
20243126,Brussels,Brussels,Brussels,Saint-Josse-ten-Noode,1210,Square Armand Steurs,360000,APARTMENT,APARTMENT,1954.0,GOOD,INSTALLED,,7.0,D,0,0,1,0,0,0,2.0,130.0,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/saint-josse-ten-noode/1210/20243126,residential_sale,FOR_SALE,0
20027054,Brussels,Brussels,Brussels,UCCLE,1180,,500000,APARTMENT,APARTMENT,1971.0,,INSTALLED,,6.0,D,1,0,1,0,0,0,3.0,130.0,18.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20027054,residential_sale,FOR_SALE,0
20207836,Brussels,Brussels,Brussels,Ganshoren,1083,Mail - Malieplein,290000,APARTMENT,APARTMENT,1967.0,AS_NEW,SEMI_EQUIPPED,,7.0,C,1,0,1,0,0,0,3.0,100.0,8.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/ganshoren/1083/20207836,residential_sale,FOR_SALE,0
20226750,Brussels,Brussels,Brussels,Saint-Josse-ten-Noode,1210,Rue Potagère,155000,APARTMENT,APARTMENT,1954.0,TO_RENOVATE,NOT_INSTALLED,2.0,5.0,G,1,0,1,0,0,0,1.0,50.0,7.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/saint-josse-ten-noode/1210/20226750,residential_sale,FOR_SALE,0
20243089,Flanders,East Flanders,Gent,Gent,9050,Prosper Van Langendonckstraat,342000,APARTMENT,APARTMENT,1949.0,AS_NEW,,2.0,2.0,D,1,0,0,0,0,0,2.0,87.0,10.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9050/20243089,residential_sale,FOR_SALE,0
20233253,Brussels,Brussels,Brussels,Anderlecht,1070,Rue Van Soust 105-107,200000,APARTMENT,APARTMENT,1972.0,GOOD,SEMI_EQUIPPED,2.0,1.0,G,0,0,1,0,0,0,1.0,81.0,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/20233253,residential_sale,FOR_SALE,0
20226849,Brussels,Brussels,Brussels,Berchem-Sainte-Agathe,1082,Bon Pasteur,249000,APARTMENT,APARTMENT,,GOOD,INSTALLED,2.0,3.0,C,0,0,1,0,0,0,2.0,98.0,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/berchem-sainte-agathe/1082/20226849,residential_sale,FOR_SALE,0
20226818,Brussels,Brussels,Brussels,Molenbeek-Saint-Jean,1080,Rue Révérend Père Pire - Eerwaarde Pater Pirestraat,240000,APARTMENT,APARTMENT,,AS_NEW,INSTALLED,2.0,,,1,0,1,0,0,0,2.0,75.0,1.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/20226818,residential_sale,FOR_SALE,0
20226848,Brussels,Brussels,Brussels,Berchem-Sainte-Agathe,1080,,269000,APARTMENT,APARTMENT,,,INSTALLED,3.0,3.0,,0,0,1,0,0,0,2.0,90.0,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/berchem-sainte-agathe/1080/20226848,residential_sale,FOR_SALE,0
20226526,Brussels,Brussels,Brussels,Forest,1190,Rue De Fierlant - De Fierlantstraat,250000,APARTMENT,APARTMENT,1960.0,GOOD,NOT_INSTALLED,1.0,,,1,0,1,0,0,0,2.0,90.0,1.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/forest/1190/20226526,residential_sale,FOR_SALE,0
20208233,Brussels,Brussels,Brussels,Ixelles,1050,Chaussée de Boondael,349000,APARTMENT,APARTMENT,1980.0,AS_NEW,HYPER_EQUIPPED,2.0,3.0,F,1,0,1,0,0,0,2.0,80.0,2.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20208233,residential_sale,FOR_SALE,0
20233122,Brussels,Brussels,Brussels,Jette,1090,,260000,APARTMENT,APARTMENT,,,USA_SEMI_EQUIPPED,,5.0,G,0,0,1,0,0,0,2.0,96.0,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/jette/1090/20233122,residential_sale,FOR_SALE,0
20207478,Brussels,Brussels,Brussels,Berchem-Sainte-Agathe,1082,Rue de Grand Bigard,220000,APARTMENT,APARTMENT,1960.0,GOOD,INSTALLED,,3.0,G,1,0,1,0,0,0,2.0,80.0,5.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/berchem-sainte-agathe/1082/20207478,residential_sale,FOR_SALE,0
20206161,Brussels,Brussels,Brussels,UCCLE,1180,,325000,APARTMENT,APARTMENT,1950.0,AS_NEW,USA_HYPER_EQUIPPED,2.0,3.0,C,1,0,1,0,0,0,2.0,75.0,3.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20206161,residential_sale,FOR_SALE,0
20226675,Brussels,Brussels,Brussels,Woluwe-Saint-Pierre,1150,Avenue Capitaine Piret - Kapitein Piretlaan,405000,APARTMENT,APARTMENT,,GOOD,SEMI_EQUIPPED,2.0,,G,0,1,1,0,0,0,2.0,87.0,,1.0,,,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-pierre/1150/20226675,residential_sale,FOR_SALE,0
20240545,Flanders,Antwerp,Antwerp,HOBOKEN,2660,Emiel de Harvenstraat,269000,APARTMENT,APARTMENT,2006.0,AS_NEW,INSTALLED,,,B,1,0,1,0,0,0,2.0,86.0,25.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/hoboken/2660/20240545,residential_sale,FOR_SALE,0
20226583,Brussels,Brussels,Brussels,Jette,1090,Avenue Henri Liebrecht,249000,APARTMENT,APARTMENT,1967.0,TO_BE_DONE_UP,SEMI_EQUIPPED,,7.0,D,0,0,1,0,0,0,2.0,113.0,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/jette/1090/20226583,residential_sale,FOR_SALE,0
20243094,Brussels,Brussels,Brussels,Etterbeek,1040,Rue des Moissonneurs,185000,APARTMENT,APARTMENT,,GOOD,INSTALLED,3.0,3.0,G,0,0,1,0,0,0,1.0,27.0,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/etterbeek/1040/20243094,residential_sale,FOR_SALE,0
20240524,Flanders,Antwerp,Antwerp,BERCHEM,2600,Fruithoflaan,365000,APARTMENT,APARTMENT,1979.0,GOOD,SEMI_EQUIPPED,,12.0,B,1,0,1,0,0,0,3.0,190.0,36.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/berchem/2600/20240524,residential_sale,FOR_SALE,0
20243128,Flanders,West Flanders,Brugge,Blankenberge,8370,Prins Karellaan,199000,APARTMENT,APARTMENT,,JUST_RENOVATED,,,,C,0,0,0,0,0,0,1.0,57.0,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/20243128,residential_sale,FOR_SALE,0
20242465,Flanders,Antwerp,Antwerp,Antwerpen,2018,Quinten Matsijslei,375000,APARTMENT,APARTMENT,,,,2.0,,C,0,0,0,0,0,0,3.0,124.0,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2018/20242465,residential_sale,FOR_SALE,0
20106206,Brussels,Brussels,Brussels,Anderlecht,1070,Avenue Docteur Zamenhof - Dokter Zamenhoflaan,237000,APARTMENT,APARTMENT,,,HYPER_EQUIPPED,1.0,,E,1,0,1,0,0,0,2.0,,8.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/20106206,residential_sale,FOR_SALE,0
20243099,Flanders,Antwerp,Turnhout,Geel,2440,Pas,160000,APARTMENT,APARTMENT,1976.0,GOOD,HYPER_EQUIPPED,2.0,,D,1,0,1,0,0,0,2.0,70.0,3.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/geel/2440/20243099,residential_sale,FOR_SALE,0
20233256,Brussels,Brussels,Brussels,Uccle,1180,,595000,APARTMENT,APARTMENT,1966.0,TO_RENOVATE,INSTALLED,2.0,7.0,C,0,0,1,0,1,0,4.0,181.0,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20233256,residential_sale,FOR_SALE,0
20226805,Brussels,Brussels,Brussels,Molenbeek-Saint-Jean,1080,Rue De La Meuse - Maasstraat,249999,APARTMENT,APARTMENT,,,INSTALLED,3.0,,E,1,0,1,0,0,0,2.0,85.0,4.0,,,,https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/20226805,residential_sale,FOR_SALE,0
