Property ID,Region,Province,District,Locality,PostalCode,Street,Price,PropertyType,PropertySubtype,ConstructionYear,StateBuilding,KitchenType,FacadeCount,FloorCount,EPCScore,HasTerrace,HasGarden,HasKitchen,Open_fire,SwimmingPool,Furnished,BedroomCount,LivingArea,Terrace_Area,Garden_Area,LandWidth,LandSurface,ScrapedURL,PriceType,TypeSale,LifeAnnuitySale
20240549,Wallonie,Luxembourg,Neufchâteau,WELLIN,6920,Rue Houchettes,219000,HOUSE,HOUSE,1850.0,,NOT_INSTALLED,2.0,,E,0,1,1,0,0,0,3.0,103.0,,1160.0,11.0,1252.0,https://www.immoweb.be/en/classified/house/for-sale/wellin/6920/20240549,residential_sale,FOR_SALE,0
20226427,Brussels,Brussels,Brussels,UCCLE,1180,,820000,HOUSE,HOUSE,,,,,,,1,1,0,0,0,0,4.0,240.0,20.0,45.0,0.0,0.0,https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/20226427,residential_sale,FOR_SALE,0
20240582,Wallonie,Liège,Waremme,Meeffe,4219,Rue De Liège,370000,HOUSE,HOUSE,2024.0,AS_NEW,USA_INSTALLED,4.0,1.0,A,1,1,1,0,0,0,3.0,160.0,1.0,1.0,0.0,1039.0,https://www.immoweb.be/en/classified/house/for-sale/meeffe/4219/20240582,residential_sale,FOR_SALE,0
20243129,Flanders,Antwerp,Turnhout,Mol,2400,Schaapsbeemdenweg,639000,HOUSE,HOUSE,,,,4.0,,,0,0,0,0,0,0,4.0,240.0,,,0.0,700.0,https://www.immoweb.be/en/classified/house/for-sale/mol/2400/20243129,residential_sale,FOR_SALE,0
20243127,Wallonie,Liège,Liège,Seraing,4100,Rue Fivé,199000,HOUSE,HOUSE,,GOOD,INSTALLED,2.0,2.0,C,1,1,1,0,0,0,4.0,46.0,10.0,84.0,12.0,146.0,https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/20243127,residential_sale,FOR_SALE,0
20240550,Flanders,Antwerp,Antwerp,Aartselaar,2630,Oever,499000,HOUSE,HOUSE,1970.0,GOOD,INSTALLED,3.0,,C,0,1,1,0,0,0,4.0,218.0,,530.0,12.0,725.0,https://www.immoweb.be/en/classified/house/for-sale/aartselaar/2630/20240550,residential_sale,FOR_SALE,0
20226733,Brussels,Brussels,Brussels,Woluwe-Saint-Lambert,1200,,499000,HOUSE,HOUSE,1962.0,GOOD,,3.0,1.0,G,0,1,0,0,0,0,3.0,,,200.0,0.0,250.0,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-lambert/1200/20226733,residential_sale,FOR_SALE,0
20243104,Flanders,West Flanders,Veurne,Nieuwpoort,8620,Witte Brigadelaan,190000,HOUSE,HOUSE,1930.0,TO_RENOVATE,,2.0,2.0,E,0,0,0,0,0,0,2.0,126.0,,,5.0,175.0,https://www.immoweb.be/en/classified/house/for-sale/nieuwpoort/8620/20243104,residential_sale,FOR_SALE,0
20243102,Flanders,West Flanders,Tielt,Meulebeke,8760,,449000,HOUSE,HOUSE,2024.0,AS_NEW,,3.0,3.0,,0,0,0,0,0,0,3.0,195.0,,,19.0,472.0,https://www.immoweb.be/en/classified/house/for-sale/meulebeke/8760/20243102,residential_sale,FOR_SALE,0
20207366,Brussels,Brussels,Brussels,Bruxelles,1130,,499000,HOUSE,HOUSE,,JUST_RENOVATED,,,3.0,E,1,1,0,1,0,0,4.0,201.0,22.0,210.0,0.0,396.0,https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1130/20207366,residential_sale,FOR_SALE,0
