Property ID,Region,Province,District,Locality,PostalCode,Street,Price,PropertyType,PropertySubtype,ConstructionYear,StateBuilding,KitchenType,FacadeCount,FloorCount,EPCScore,HasTerrace,HasGarden,HasKitchen,Open_fire,SwimmingPool,Furnished,BedroomCount,LivingArea,Terrace_Area,Garden_Area,LandWidth,LandSurface,ScrapedURL,PriceType,TypeSale,LifeAnnuitySale
20226422,Brussels,Brussels,Brussels,Woluwe-Saint-Pierre,1150,Avenue Edmond Parmentier,1375000,HOUSE,HOUSE,1918,GOOD,HYPER_EQUIPPED,4,3,G,0,0,1,0,1,0,5.0,340,,,0,550,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/20226422,residential_sale,FOR_SALE,0
11445541,Brussels,Brussels,Brussels,Bruxelles,1020,Avenue De La Bugrane - Stalkruidlaan,1000000,HOUSE,VILLA,,GOOD,HYPER_EQUIPPED,3,2,E,1,1,1,1,0,0,6.0,500,1,387,0,517,https://www.immoweb.be/en/classified/villa/for-sale/bruxelles/1020/11445541,residential_sale,FOR_SALE,0
20093183,Brussels,Brussels,Brussels,Forest,1190,Place Saint-Denis - Sint-Denijsplein,565000,HOUSE,MIXED_USE_BUILDING,1903,TO_BE_DONE_UP,USA_SEMI_EQUIPPED,2,3,G,1,1,1,1,0,0,4.0,260,14,150,7,250,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/forest/1190/20093183,residential_sale,FOR_SALE,0
20240551,Flanders,Antwerp,Antwerp,Wilrijk,2610,Vaderlandstraat,410000,HOUSE,APARTMENT_BLOCK,1945,JUST_RENOVATED,INSTALLED,2,2,,0,1,1,0,0,0,3.0,185,,25,0,139,https://www.immoweb.be/en/classified/apartment-block/for-sale/wilrijk/2610/20240551,residential_sale,FOR_SALE,0
20240549,Wallonie,Luxembourg,Neufchâteau,WELLIN,6920,Rue Houchettes,219000,HOUSE,HOUSE,1850,,NOT_INSTALLED,2,,E,0,1,1,0,0,0,3.0,103,,1160,11,1252,https://www.immoweb.be/en/classified/house/for-sale/wellin/6920/20240549,residential_sale,FOR_SALE,0
20233131,Brussels,Brussels,Brussels,Ixelles,1050,Rue Du Relais - Pleisterstraat,395000,APARTMENT,APARTMENT,,JUST_RENOVATED,HYPER_EQUIPPED,,4,,1,0,1,0,0,0,1.0,100,3,,,,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20233131,residential_sale,FOR_SALE,0
20226645,Brussels,Brussels,Brussels,Brussel,1000,Hooikaai,455000,APARTMENT,APARTMENT,,TO_BE_DONE_UP,SEMI_EQUIPPED,,6,F,0,0,1,0,0,0,2.0,120,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/brussel/1000/20226645,residential_sale,FOR_SALE,0
20226427,Brussels,Brussels,Brussels,UCCLE,1180,,820000,HOUSE,HOUSE,,,,,,,1,1,0,0,0,0,4.0,240,20,45,0,0,https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/20226427,residential_sale,FOR_SALE,0
20240570,Brussels,Brussels,Brussels,Evere,1140,Avenue de l'Oud-Kapelleke,235000,APARTMENT,APARTMENT,,GOOD,,,1,E,1,0,0,0,0,0,2.0,75,14,,,,https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/20240570,residential_sale,FOR_SALE,0
20240582,Wallonie,Liège,Waremme,Meeffe,4219,Rue De Liège,370000,HOUSE,HOUSE,2024,AS_NEW,USA_INSTALLED,4,1,A,1,1,1,0,0,0,3.0,160,1,1,0,1039,https://www.immoweb.be/en/classified/house/for-sale/meeffe/4219/20240582,residential_sale,FOR_SALE,0
20243133,Flanders,West Flanders,Brugge,Blankenberge,8370,Kerkstraat,189000,APARTMENT,APARTMENT,,GOOD,,,,A,1,0,0,0,0,1,1.0,57,10,,,,https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/20243133,residential_sale,FOR_SALE,0
20240553,Brussels,Brussels,Brussels,Laeken,1020,Avenue Prudent Bols,300000,APARTMENT,PENTHOUSE,1999,GOOD,HYPER_EQUIPPED,2,4,D,0,0,1,0,0,1,2.0,105,,,,,https://www.immoweb.be/en/classified/penthouse/for-sale/laeken/1020/20240553,residential_sale,FOR_SALE,0
20226743,Brussels,Brussels,Brussels,Brussels City,1000,,650000,APARTMENT,APARTMENT,1950,GOOD,HYPER_EQUIPPED,,8,E,0,0,1,0,0,0,2.0,180,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/brussels-city/1000/20226743,residential_sale,FOR_SALE,0
20226435,Brussels,Brussels,Brussels,Bruxelles,1000,Rue des Commerçants,480000,APARTMENT,TRIPLEX,,AS_NEW,HYPER_EQUIPPED,2,5,D,0,0,1,0,0,0,3.0,138,,,,,https://www.immoweb.be/en/classified/triplex/for-sale/bruxelles/1000/20226435,residential_sale,FOR_SALE,0
20242468,Flanders,West Flanders,Kortrijk,Kuurne,8520,Roterijstraat,775000,HOUSE,MANSION,2011,AS_NEW,,2,3,B,1,1,0,0,0,0,3.0,,20,590,15,801,https://www.immoweb.be/en/classified/mansion/for-sale/kuurne/8520/20242468,residential_sale,FOR_SALE,0
20226625,Brussels,Brussels,Brussels,Uccle,1180,Rue Geleytsbeek,499000,APARTMENT,GROUND_FLOOR,,JUST_RENOVATED,,3,3,,1,1,0,0,0,0,3.0,105,15,250,,,https://www.immoweb.be/en/classified/ground-floor/for-sale/uccle/1180/20226625,residential_sale,FOR_SALE,0
20243129,Flanders,Antwerp,Turnhout,Mol,2400,Schaapsbeemdenweg,639000,HOUSE,HOUSE,,,,4,,,0,0,0,0,0,0,4.0,240,,,0,700,https://www.immoweb.be/en/classified/house/for-sale/mol/2400/20243129,residential_sale,FOR_SALE,0
20208311,Brussels,Brussels,Brussels,Uccle,1180,Avenue Montjoie,289000,APARTMENT,APARTMENT,,,,,3,G,0,0,0,0,0,0,1.0,75,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20208311,residential_sale,FOR_SALE,0
