Property ID,Locality,PostalCode,Price,PropertyType,PropertySubtype,TypeSale,BedroomCount,LivingArea,Kitchen,Furnished,Open_fire,Terrace_Area,Garden_Area,FacadeCount,SwimmingPool,StateBuilding,LifeAnnuitySale,RoomCount,ToiletCount,BathroomCount,ShowerCount,ScrapedURL
20233520,BRUXELLES,1000,460000.0,APARTMENT,APARTMENT,FOR_SALE,2,146.0,1,0,0,50.0,,2.0,0,AS_NEW,0,,2.0,1.0,,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20233520
20233513,MOLENBEEK-SAINT-JEAN,1080,399000.0,HOUSE,HOUSE,FOR_SALE,4,360.0,1,0,0,,,2.0,0,TO_RENOVATE,0,,4.0,1.0,,https://www.immoweb.be/en/classified/house/for-sale/molenbeek-saint-jean/1080/20233513
20233479,BRUXELLES,1000,339000.0,APARTMENT,GROUND_FLOOR,FOR_SALE,2,90.0,0,0,0,25.0,,4.0,0,,0,,1.0,1.0,0.0,https://www.immoweb.be/en/classified/ground-floor/for-sale/bruxelles/1000/20233479
20233478,BRUXELLES,1000,339000.0,APARTMENT,APARTMENT,FOR_SALE,2,90.0,0,0,0,25.0,,4.0,0,,0,,1.0,1.0,0.0,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20233478
20233441,Uccle,1180,1250000.0,APARTMENT,APARTMENT,FOR_SALE,4,316.0,1,0,0,19.0,,2.0,0,GOOD,0,,3.0,3.0,2.0,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20233441
20233310,Ixelles,1050,950000.0,APARTMENT,APARTMENT,FOR_SALE,3,223.0,1,0,0,13.0,,2.0,0,AS_NEW,0,,3.0,1.0,1.0,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20233310
20233279,Bruxelles,1000,289000.0,APARTMENT,APARTMENT,FOR_SALE,0,34.0,1,1,0,,,,0,AS_NEW,0,2.0,1.0,1.0,,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20233279
20233269,Uccle,1180,399000.0,APARTMENT,APARTMENT,FOR_SALE,2,122.0,1,0,0,4.0,,2.0,0,GOOD,0,10.0,2.0,2.0,1.0,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20233269
20233256,Uccle,1180,595000.0,APARTMENT,APARTMENT,FOR_SALE,4,181.0,1,0,0,,,2.0,1,TO_RENOVATE,0,,3.0,2.0,,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20233256
20233253,Anderlecht,1070,200000.0,APARTMENT,APARTMENT,FOR_SALE,1,81.0,1,0,0,,,2.0,0,GOOD,0,,1.0,1.0,1.0,https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/20233253
20233251,Schaerbeek,1030,850000.0,HOUSE,HOUSE,FOR_SALE,6,385.0,1,0,0,34.0,275.0,2.0,0,AS_NEW,0,,3.0,2.0,,https://www.immoweb.be/en/classified/house/for-sale/schaerbeek/1030/20233251
20233258,Woluwe-Saint-Lambert,1200,850000.0,HOUSE,HOUSE,FOR_SALE,6,385.0,1,0,0,34.0,275.0,2.0,0,AS_NEW,0,,3.0,2.0,,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-lambert/1200/20233258
11265076,Berchem-Sainte-Agathe,1082,275000.0,APARTMENT,APARTMENT,FOR_SALE,2,90.0,1,0,0,,,2.0,0,GOOD,0,,1.0,1.0,1.0,https://www.immoweb.be/en/classified/apartment/for-sale/berchem-sainte-agathe/1082/11265076
20233237,Uccle,1180,310000.0,APARTMENT,DUPLEX,FOR_SALE,2,95.0,1,0,0,10.0,,2.0,0,GOOD,0,,2.0,1.0,,https://www.immoweb.be/en/classified/duplex/for-sale/uccle/1180/20233237
11140576,Bruxelles,1000,375000.0,APARTMENT,APARTMENT,FOR_SALE,2,132.0,1,0,0,,,2.0,0,GOOD,0,,1.0,1.0,,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11140576
20161765,Uccle,1180,398000.0,HOUSE,HOUSE,FOR_SALE,0,186.0,1,0,0,,,2.0,0,TO_RENOVATE,0,,,,,https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/20161765
20233200,Ixelles,1050,745000.0,APARTMENT,PENTHOUSE,FOR_SALE,2,133.0,1,0,1,80.0,,4.0,0,AS_NEW,0,6.0,1.0,1.0,,https://www.immoweb.be/en/classified/penthouse/for-sale/ixelles/1050/20233200
20233175,Jette,1090,126000.0,APARTMENT,FLAT_STUDIO,FOR_SALE,0,37.0,1,0,0,,,,0,GOOD,0,,1.0,1.0,,https://www.immoweb.be/en/classified/flat-studio/for-sale/jette/1090/20233175
20233162,Evere,1140,520000.0,HOUSE,HOUSE,FOR_SALE,5,180.0,1,0,0,,50.0,2.0,0,GOOD,0,,3.0,3.0,,https://www.immoweb.be/en/classified/house/for-sale/evere/1140/20233162
20233157,Watermael-Boitsfort,1170,850000.0,HOUSE,EXCEPTIONAL_PROPERTY,FOR_SALE,3,160.0,1,0,0,10.0,200.0,2.0,0,AS_NEW,0,7.0,2.0,1.0,1.0,https://www.immoweb.be/en/classified/exceptional-property/for-sale/watermael-boitsfort/1170/20233157
20233145,Sint-Lambrechts-Woluwe,1200,995000.0,HOUSE,MANSION,FOR_SALE,5,280.0,1,0,0,,300.0,2.0,0,GOOD,0,,3.0,3.0,,https://www.immoweb.be/en/classified/mansion/for-sale/sint-lambrechts-woluwe/1200/20233145
20233131,Ixelles,1050,395000.0,APARTMENT,APARTMENT,FOR_SALE,1,100.0,1,0,0,3.0,,,0,JUST_RENOVATED,0,7.0,1.0,,1.0,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20233131
20233122,Jette,1090,260000.0,APARTMENT,APARTMENT,FOR_SALE,2,96.0,1,0,0,,,,0,,0,6.0,1.0,1.0,,https://www.immoweb.be/en/classified/apartment/for-sale/jette/1090/20233122
20038619,Evere,1140,300000.0,APARTMENT,GROUND_FLOOR,FOR_SALE,2,108.0,1,0,0,22.0,,1.0,0,JUST_RENOVATED,0,9.0,2.0,1.0,1.0,https://www.immoweb.be/en/classified/ground-floor/for-sale/evere/1140/20038619
20243134,CHAUMONT-GISTOUX,1325,545000.0,HOUSE,HOUSE,FOR_SALE,3,112.0,1,0,0,,,4.0,0,JUST_RENOVATED,0,,2.0,2.0,0.0,https://www.immoweb.be/en/classified/house/for-sale/chaumont-gistoux/1325/20243134
20243130,BUIZINGEN,1501,395000.0,HOUSE,HOUSE,FOR_SALE,2,115.0,1,0,0,25.0,50.0,3.0,0,GOOD,0,,1.0,1.0,0.0,https://www.immoweb.be/en/classified/house/for-sale/buizingen/1501/20243130
20243127,Seraing,4100,199000.0,HOUSE,HOUSE,FOR_SALE,4,46.0,1,0,0,10.0,84.0,2.0,0,GOOD,0,,1.0,1.0,1.0,https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/20243127
20243126,Saint-Josse-ten-Noode,1210,360000.0,APARTMENT,APARTMENT,FOR_SALE,2,130.0,1,0,0,,,,0,GOOD,0,,1.0,1.0,,https://www.immoweb.be/en/classified/apartment/for-sale/saint-josse-ten-noode/1210/20243126
20243125,Assebroek,8310,325000.0,HOUSE,HOUSE,FOR_SALE,3,211.0,1,0,0,,,3.0,0,,0,,,1.0,,https://www.immoweb.be/en/classified/house/for-sale/assebroek/8310/20243125
20243124,Tielt-Winge Tielt,3390,478000.0,HOUSE,HOUSE,FOR_SALE,3,,1,0,0,,,4.0,0,JUST_RENOVATED,0,,1.0,1.0,1.0,https://www.immoweb.be/en/classified/house/for-sale/tielt-winge%20tielt/3390/20243124
20243123,Lasne,1380,695000.0,HOUSE,VILLA,FOR_SALE,3,143.0,1,0,0,,1200.0,4.0,0,GOOD,0,,2.0,1.0,1.0,https://www.immoweb.be/en/classified/villa/for-sale/lasne/1380/20243123
20243118,Floreffe,5150,379000.0,HOUSE,HOUSE,FOR_SALE,3,659.0,1,0,0,,1565.0,4.0,0,TO_RENOVATE,0,,2.0,1.0,1.0,https://www.immoweb.be/en/classified/house/for-sale/floreffe/5150/20243118
20243102,Meulebeke,8760,449000.0,HOUSE,HOUSE,FOR_SALE,3,195.0,0,0,0,,,3.0,0,AS_NEW,0,1.0,2.0,1.0,0.0,https://www.immoweb.be/en/classified/house/for-sale/meulebeke/8760/20243102
20243101,Meulebeke,8760,459000.0,HOUSE,HOUSE,FOR_SALE,3,189.0,0,0,0,,,3.0,0,GOOD,0,1.0,2.0,1.0,0.0,https://www.immoweb.be/en/classified/house/for-sale/meulebeke/8760/20243101
20243100,Antwerpen,2020,229000.0,APARTMENT,APARTMENT,FOR_SALE,2,70.0,1,0,0,,,3.0,0,GOOD,0,,1.0,1.0,,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2020/20243100
20243099,Geel,2440,160000.0,APARTMENT,APARTMENT,FOR_SALE,2,70.0,1,0,0,3.0,,2.0,0,GOOD,0,,,1.0,,https://www.immoweb.be/en/classified/apartment/for-sale/geel/2440/20243099
20243097,Wanze,4520,189000.0,HOUSE,HOUSE,FOR_SALE,3,115.0,1,0,0,,,3.0,0,TO_RENOVATE,0,,1.0,1.0,1.0,https://www.immoweb.be/en/classified/house/for-sale/wanze/4520/20243097
20243094,Etterbeek,1040,185000.0,APARTMENT,APARTMENT,FOR_SALE,1,27.0,1,0,0,,,3.0,0,GOOD,0,,1.0,1.0,1.0,https://www.immoweb.be/en/classified/apartment/for-sale/etterbeek/1040/20243094
20243093,Etterbeek,1040,200000.0,APARTMENT,APARTMENT,FOR_SALE,1,45.0,1,0,0,1.0,,3.0,0,TO_BE_DONE_UP,0,,1.0,1.0,1.0,https://www.immoweb.be/en/classified/apartment/for-sale/etterbeek/1040/20243093
20153015,Braine-l'Alleud,1420,385000.0,HOUSE,HOUSE,FOR_SALE,4,166.0,1,0,0,15.0,,2.0,0,AS_NEW,0,,5.0,3.0,2.0,https://www.immoweb.be/en/classified/house/for-sale/braine-l%27alleud/1420/20153015
20243089,Gent,9050,342000.0,APARTMENT,APARTMENT,FOR_SALE,2,87.0,0,0,0,10.0,,2.0,0,AS_NEW,0,1.0,1.0,1.0,1.0,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9050/20243089
20103914,Heist-op-den-Berg,2220,325000.0,HOUSE,HOUSE,FOR_SALE,3,186.0,1,0,0,,,,0,JUST_RENOVATED,0,11.0,2.0,1.0,0.0,https://www.immoweb.be/en/classified/house/for-sale/heist-op-den-berg/2220/20103914
20243073,Schriek,2223,465000.0,HOUSE,HOUSE,FOR_SALE,4,218.0,1,0,0,,,,0,,0,15.0,2.0,1.0,0.0,https://www.immoweb.be/en/classified/house/for-sale/schriek/2223/20243073
20208281,Woluwe-Saint-Lambert,1200,420000.0,APARTMENT,PENTHOUSE,FOR_SALE,2,107.0,1,0,0,12.0,,2.0,0,AS_NEW,0,9.0,2.0,1.0,,https://www.immoweb.be/en/classified/penthouse/for-sale/woluwe-saint-lambert/1200/20208281
20208279,Auderghem,1160,349000.0,APARTMENT,GROUND_FLOOR,FOR_SALE,0,72.0,1,0,0,11.0,14.0,2.0,0,AS_NEW,0,,1.0,1.0,,https://www.immoweb.be/en/classified/ground-floor/for-sale/auderghem/1160/20208279
20208233,Ixelles,1050,349000.0,APARTMENT,APARTMENT,FOR_SALE,2,80.0,1,0,0,2.0,,2.0,0,AS_NEW,0,,1.0,1.0,1.0,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20208233
20208010,Uccle - Ukkel,1180,700000.0,APARTMENT,APARTMENT,FOR_SALE,3,170.0,1,0,0,30.0,,3.0,0,GOOD,0,1.0,2.0,2.0,,https://www.immoweb.be/en/classified/apartment/for-sale/uccle-ukkel/1180/20208010
20207991,Uccle,1180,1290000.0,HOUSE,VILLA,FOR_SALE,4,277.0,1,0,0,,,4.0,1,TO_BE_DONE_UP,0,,2.0,2.0,2.0,https://www.immoweb.be/en/classified/villa/for-sale/uccle/1180/20207991
20207836,Ganshoren,1083,290000.0,APARTMENT,APARTMENT,FOR_SALE,3,100.0,1,0,0,8.0,,,0,AS_NEW,0,,1.0,1.0,,https://www.immoweb.be/en/classified/apartment/for-sale/ganshoren/1083/20207836
20207823,SINT-JANS-MOLENBEEK,1080,235000.0,APARTMENT,APARTMENT,FOR_SALE,1,57.0,1,1,0,37.0,,2.0,0,GOOD,0,,1.0,1.0,0.0,https://www.immoweb.be/en/classified/apartment/for-sale/sint-jans-molenbeek/1080/20207823
11445541,Bruxelles,1020,1000000.0,HOUSE,VILLA,FOR_SALE,6,500.0,1,0,1,1.0,387.0,3.0,0,GOOD,0,19.0,4.0,3.0,,https://www.immoweb.be/en/classified/villa/for-sale/bruxelles/1020/11445541
20207803,Bruxelles,1000,135000.0,APARTMENT,FLAT_STUDIO,FOR_SALE,1,35.0,1,0,0,,,2.0,0,TO_RENOVATE,0,,1.0,1.0,3.0,https://www.immoweb.be/en/classified/flat-studio/for-sale/bruxelles/1000/20207803
20207780,Ixelles,1050,2300000.0,HOUSE,HOUSE,FOR_SALE,3,600.0,1,0,1,,120.0,2.0,0,AS_NEW,0,,5.0,2.0,0.0,https://www.immoweb.be/en/classified/house/for-sale/ixelles/1050/20207780
20166817,Uccle,1180,4500000.0,HOUSE,HOUSE,FOR_SALE,5,750.0,1,0,1,,,2.0,1,AS_NEW,0,12.0,6.0,2.0,2.0,https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/20166817
20207779,Bruxelles,1000,3500000.0,HOUSE,HOUSE,FOR_SALE,6,513.0,1,0,0,60.0,,2.0,0,AS_NEW,0,12.0,4.0,3.0,0.0,https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/20207779
20106206,Anderlecht,1070,237000.0,APARTMENT,APARTMENT,FOR_SALE,2,,1,0,0,8.0,,1.0,0,,0,,1.0,1.0,,https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/20106206
20206161,UCCLE,1180,325000.0,APARTMENT,APARTMENT,FOR_SALE,2,75.0,1,0,0,3.0,,2.0,0,AS_NEW,0,,1.0,1.0,0.0,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20206161
20207616,Uccle,1180,350000.0,APARTMENT,PENTHOUSE,FOR_SALE,2,,1,0,0,5.0,,2.0,0,,0,,1.0,1.0,,https://www.immoweb.be/en/classified/penthouse/for-sale/uccle/1180/20207616
20207588,Molenbeek-Saint-Jean,1080,790000.0,HOUSE,APARTMENT_BLOCK,FOR_SALE,6,300.0,1,0,0,,,,0,TO_BE_DONE_UP,0,,5.0,3.0,,https://www.immoweb.be/en/classified/apartment-block/for-sale/molenbeek-saint-jean/1080/20207588
20207577,Woluwe-Saint-Pierre,1150,990000.0,HOUSE,APARTMENT_BLOCK,FOR_SALE,3,300.0,1,0,0,17.0,,3.0,0,,0,,3.0,3.0,,https://www.immoweb.be/en/classified/apartment-block/for-sale/woluwe-saint-pierre/1150/20207577
20207520,Jette,1090,245000.0,APARTMENT,APARTMENT,FOR_SALE,2,85.0,0,0,0,2.0,,2.0,0,TO_BE_DONE_UP,0,,1.0,1.0,,https://www.immoweb.be/en/classified/apartment/for-sale/jette/1090/20207520
20128069,Schaerbeek,1030,285000.0,APARTMENT,DUPLEX,FOR_SALE,1,100.0,0,0,0,,,2.0,0,GOOD,0,,2.0,1.0,,https://www.immoweb.be/en/classified/duplex/for-sale/schaerbeek/1030/20128069
20207478,Berchem-Sainte-Agathe,1082,220000.0,APARTMENT,APARTMENT,FOR_SALE,2,80.0,1,0,0,5.0,,,0,GOOD,0,7.0,1.0,1.0,,https://www.immoweb.be/en/classified/apartment/for-sale/berchem-sainte-agathe/1082/20207478
